"Frequently Occurring Surnames in the 2010 Census: Top 1,000 Surnames ",,,,,,,,,,
,,,,,,,,,,
SURNAME,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,PERCENT NON-HISPANIC OR LATINO WHITE ALONE,PERCENT NON-HISPANIC OR LATINO BLACK OR AFRICAN AMERICAN ALONE,PERCENT NON-HISPANIC OR LATINO ASIAN AND NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,PERCENT NON-HISPANIC OR LATINO AMERICAN INDIAN AND ALASKA NATIVE ALONE,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,PERCENT HISPANIC OR LATINO ORIGIN
HARRIS,25,"624,252",211.6,"8,737.6",51.4,42.4,0.5,0.7,2.8,2.3
SANCHEZ,26,"612,752",207.7,"8,945.3",5.0,0.5,1.0,0.4,0.2,93.0
CLARK,27,"562,679",190.8,"9,136.1",74.7,19.0,0.5,1.0,2.2,2.6
RAMIREZ,28,"557,423",189.0,"9,325.1",3.9,0.3,0.9,0.2,0.2,94.5
LEWIS,29,"531,781",180.3,"9,505.3",58.2,34.8,0.6,1.2,2.6,2.6
ROBINSON,30,"529,821",179.6,"9,685.0",48.7,44.9,0.5,0.5,2.8,2.6
WALKER,31,"523,129",177.3,"9,862.3",58.7,35.1,0.5,0.9,2.6,2.4
YOUNG,32,"484,447",164.2,"10,026.5",66.3,24.7,3.0,0.8,2.7,2.6
ALLEN,33,"482,607",163.6,"10,190.1",67.6,26.2,0.5,0.9,2.4,2.5
KING,34,"465,422",157.8,"10,347.9",70.2,22.8,1.2,1.0,2.3,2.6
WRIGHT,35,"458,980",155.6,"10,503.5",65.8,28.2,0.5,0.7,2.4,2.4
SCOTT,36,"439,530",149.0,"10,652.5",60.2,32.9,0.5,1.2,2.6,2.6
TORRES,37,"437,813",148.4,"10,800.9",5.4,0.6,1.4,0.2,0.3,92.2
NGUYEN,38,"437,645",148.4,"10,949.3",1.0,0.1,96.5,0.0,1.8,0.6
HILL,39,"434,827",147.4,"11,096.7",64.4,29.1,0.5,1.0,2.5,2.5
FLORES,40,"433,969",147.1,"11,243.8",4.9,0.4,2.1,0.3,0.4,91.9
GREEN,41,"430,182",145.8,"11,389.7",56.8,37.0,0.4,0.6,2.5,2.6
ADAMS,42,"427,865",145.1,"11,534.7",74.0,19.9,0.6,0.8,2.2,2.6
NELSON,43,"424,958",144.1,"11,678.8",77.7,16.0,0.7,1.2,2.0,2.6
BAKER,44,"419,586",142.2,"11,821.0",79.8,14.4,0.6,0.9,2.0,2.3
HALL,45,"407,076",138.0,"11,959.0",72.7,21.6,0.6,0.7,2.2,2.3
RIVERA,46,"391,114",132.6,"12,091.6",5.4,1.0,2.0,0.2,0.4,91.1
CAMPBELL,47,"386,157",130.9,"12,222.5",73.7,20.5,0.5,0.7,2.1,2.5
MITCHELL,48,"384,486",130.3,"12,352.9",61.0,32.5,0.5,1.0,2.5,2.5
CARTER,49,"376,966",127.8,"12,480.7",58.2,35.6,0.5,0.8,2.7,2.3
ROBERTS,50,"376,774",127.7,"12,608.4",77.3,16.7,0.6,0.9,2.2,2.4
GOMEZ,51,"365,655",124.0,"12,732.4",5.1,0.8,1.0,0.3,0.3,92.6
PHILLIPS,52,"360,802",122.3,"12,854.7",76.7,17.1,0.6,1.0,2.2,2.4
EVANS,53,"355,593",120.6,"12,975.2",68.4,25.7,0.5,0.7,2.3,2.4
TURNER,54,"348,627",118.2,"13,093.4",64.3,30.1,0.4,0.6,2.4,2.2
DIAZ,55,"347,636",117.9,"13,211.3",5.2,0.7,1.2,0.2,0.3,92.6
PARKER,56,"336,221",114.0,"13,325.2",69.2,24.8,0.5,0.9,2.4,2.3
CRUZ,57,"334,201",113.3,"13,438.5",5.2,0.8,5.2,0.3,0.7,87.9
EDWARDS,58,"332,423",112.7,"13,551.2",62.1,31.6,0.5,0.8,2.5,2.5
COLLINS,59,"329,770",111.8,"13,663.0",71.6,22.4,0.5,0.8,2.2,2.5
REYES,60,"327,904",111.2,"13,774.2",4.4,0.6,5.6,0.2,0.6,88.6
STEWART,61,"324,957",110.2,"13,884.3",69.2,24.9,0.5,0.8,2.2,2.5
MORRIS,62,"318,884",108.1,"13,992.5",73.6,20.1,0.6,1.0,2.2,2.6
MORALES,63,"311,777",105.7,"14,098.1",4.6,0.6,1.2,0.2,0.2,93.2
MURPHY,64,"308,417",104.6,"14,202.7",83.1,11.5,0.6,0.7,1.8,2.3
COOK,65,"302,589",102.6,"14,305.3",81.8,12.6,0.6,0.9,2.0,2.2
ROGERS,66,"302,261",102.5,"14,407.8",75.4,18.5,0.5,0.8,2.1,2.6
GUTIERREZ,67,"293,218",99.4,"14,507.2",4.6,0.2,1.4,0.3,0.2,93.3
ORTIZ,68,"286,899",97.3,"14,604.4",5.0,0.6,0.7,0.4,0.3,93.1
MORGAN,69,"286,280",97.1,"14,701.5",76.1,17.3,0.5,1.2,2.1,2.8
COOPER,70,"280,791",95.2,"14,796.7",67.9,26.1,0.5,0.7,2.3,2.4
PETERSON,71,"278,297",94.3,"14,891.0",84.4,10.1,0.7,0.7,1.7,2.4
BAILEY,72,"277,845",94.2,"14,985.2",72.5,22.0,0.5,0.6,2.2,2.3
REED,73,"277,030",93.9,"15,079.1",71.3,22.6,0.5,1.1,2.3,2.2
KELLY,74,"267,394",90.7,"15,169.8",78.1,16.2,0.6,0.5,1.8,2.7
HOWARD,75,"264,826",89.8,"15,259.5",64.3,29.5,0.5,0.9,2.5,2.4
RAMOS,76,"263,464",89.3,"15,348.8",6.5,1.0,4.9,0.2,0.7,86.8
KIM,77,"262,352",88.9,"15,437.8",2.5,0.4,94.5,0.0,2.0,0.7
COX,78,"261,231",88.6,"15,526.3",82.6,12.1,0.5,0.7,1.8,2.3
WARD,79,"260,464",88.3,"15,614.6",75.6,18.5,0.5,0.9,2.1,2.4
RICHARDSON,80,"259,798",88.1,"15,702.7",59.7,33.6,0.5,1.1,2.4,2.7
WATSON,81,"252,579",85.6,"15,788.3",66.0,27.9,0.5,0.8,2.3,2.4
BROOKS,82,"251,663",85.3,"15,873.7",60.2,33.5,0.5,0.8,2.6,2.5
CHAVEZ,83,"250,898",85.1,"15,958.7",5.0,0.2,0.7,0.9,0.2,93.0
WOOD,84,"250,715",85.0,"16,043.7",88.7,5.6,0.7,0.8,1.8,2.4
JAMES,85,"249,379",84.5,"16,128.3",51.6,38.9,1.3,2.6,2.6,3.1
BENNETT,86,"247,599",83.9,"16,212.2",76.6,17.5,0.5,0.9,2.0,2.5
GRAY,87,"246,116",83.4,"16,295.6",68.7,25.1,0.5,0.9,2.3,2.4
MENDOZA,88,"242,771",82.3,"16,377.9",4.1,0.4,4.9,0.2,0.4,90.0
RUIZ,89,"238,234",80.8,"16,458.7",5.2,0.4,1.0,0.2,0.2,92.9
HUGHES,90,"236,271",80.1,"16,538.8",78.4,16.1,0.5,0.5,2.0,2.5
PRICE,91,"235,251",79.8,"16,618.5",73.9,20.5,0.5,0.7,2.1,2.2
ALVAREZ,92,"233,983",79.3,"16,697.9",5.2,0.6,1.2,0.4,0.2,92.5
CASTILLO,93,"230,420",78.1,"16,776.0",4.9,0.7,3.0,0.6,0.5,90.3
SANDERS,94,"230,374",78.1,"16,854.1",60.8,33.0,0.4,0.8,2.4,2.6
PATEL,95,"229,973",78.0,"16,932.0",2.1,0.4,94.8,0.7,1.7,0.4
MYERS,96,"229,895",77.9,"17,010.0",84.5,10.5,0.5,0.6,1.8,2.1
LONG,97,"229,374",77.8,"17,087.7",79.9,12.1,2.5,1.3,2.0,2.2
ROSS,98,"229,368",77.8,"17,165.5",69.0,24.5,0.6,0.9,2.3,2.8
FOSTER,99,"227,764",77.2,"17,242.7",69.7,23.9,0.6,0.9,2.3,2.7
JIMENEZ,100,"227,118",77.0,"17,319.7",3.8,0.3,1.5,0.2,0.2,94.0
POWELL,101,"224,874",76.2,"17,395.9",67.2,27.1,0.5,0.6,2.3,2.3
JENKINS,102,"222,653",75.5,"17,471.4",57.8,36.8,0.4,0.6,2.4,2.1
PERRY,103,"221,741",75.2,"17,546.6",68.3,25.2,0.6,0.8,2.4,2.7
RUSSELL,104,"221,558",75.1,"17,621.7",77.1,16.7,0.6,1.1,2.2,2.5
SULLIVAN,105,"220,990",74.9,"17,696.6",87.7,7.1,0.6,0.6,1.6,2.4
BELL,106,"220,599",74.8,"17,771.4",61.1,32.4,0.6,1.0,2.5,2.5
COLEMAN,107,"219,070",74.3,"17,845.7",49.4,44.6,0.4,0.5,2.8,2.3
BUTLER,108,"218,847",74.2,"17,919.9",62.4,31.5,0.5,0.8,2.5,2.4
HENDERSON,109,"218,393",74.0,"17,993.9",59.6,34.0,0.5,0.9,2.6,2.5
BARNES,110,"218,241",74.0,"18,067.9",64.8,29.3,0.5,0.8,2.4,2.3
GONZALES,111,"214,758",72.8,"18,140.7",9.8,1.0,3.8,0.8,0.6,84.1
FISHER,112,"214,703",72.8,"18,213.5",82.6,11.8,0.6,0.8,1.9,2.4
VASQUEZ,113,"212,781",72.1,"18,285.6",5.1,0.5,0.7,0.3,0.2,93.2
SIMMONS,114,"210,182",71.3,"18,356.9",57.9,36.2,0.5,0.7,2.5,2.3
ROMERO,115,"208,614",70.7,"18,427.6",8.7,0.5,1.3,0.7,0.4,88.5
JORDAN,116,"208,403",70.7,"18,498.2",61.4,30.7,0.6,0.7,2.5,4.1
PATTERSON,117,"205,423",69.6,"18,567.9",67.3,26.8,0.5,0.7,2.4,2.4
ALEXANDER,118,"204,621",69.4,"18,637.2",58.2,34.0,1.2,0.7,2.7,3.2
HAMILTON,119,"201,746",68.4,"18,705.6",70.2,23.7,0.5,0.8,2.3,2.5
GRAHAM,120,"201,159",68.2,"18,773.8",70.0,24.0,0.5,0.8,2.1,2.6
REYNOLDS,121,"200,247",67.9,"18,841.7",81.1,13.2,0.5,0.7,2.0,2.5
GRIFFIN,122,"198,406",67.3,"18,909.0",63.8,30.8,0.4,0.5,2.3,2.2
WALLACE,123,"197,276",66.9,"18,975.8",69.2,24.7,0.5,0.8,2.3,2.5
MORENO,124,"196,925",66.8,"19,042.6",6.1,0.4,0.7,0.4,0.2,92.2
WEST,125,"195,818",66.4,"19,109.0",75.5,18.5,0.5,0.8,2.3,2.5
COLE,126,"195,289",66.2,"19,175.2",75.3,18.9,0.6,0.7,2.1,2.4
HAYES,127,"194,246",65.9,"19,241.0",69.4,24.7,0.5,0.8,2.3,2.3
BRYANT,128,"192,773",65.4,"19,306.4",58.5,35.6,0.4,0.9,2.5,2.2
HERRERA,129,"192,711",65.3,"19,371.7",4.9,0.4,1.0,0.5,0.2,93.0
GIBSON,130,"190,667",64.6,"19,436.4",72.1,21.8,0.5,1.0,2.3,2.3
ELLIS,131,"188,968",64.1,"19,500.4",70.4,23.5,0.5,0.7,2.2,2.7
TRAN,132,"188,498",63.9,"19,564.3",1.4,0.1,96.0,0.0,1.7,0.8
MEDINA,133,"188,497",63.9,"19,628.2",5.7,0.6,1.9,0.3,0.3,91.2
AGUILAR,134,"186,512",63.2,"19,691.5",4.0,0.3,1.6,0.5,0.2,93.3
STEVENS,135,"185,674",62.9,"19,754.4",81.4,11.8,0.6,1.3,2.0,2.7
MURRAY,136,"184,910",62.7,"19,817.1",74.9,19.3,0.6,0.6,2.0,2.6
FORD,137,"184,832",62.7,"19,879.7",62.1,32.0,0.5,0.6,2.5,2.4
CASTRO,138,"184,134",62.4,"19,942.2",7.3,0.7,3.7,0.2,0.6,87.4
MARSHALL,139,"183,922",62.4,"20,004.5",66.0,27.5,0.6,1.0,2.3,2.6
OWENS,140,"182,719",61.9,"20,066.5",65.9,28.4,0.4,0.8,2.5,2.2
HARRISON,141,"181,091",61.4,"20,127.9",68.7,24.5,0.5,1.4,2.3,2.7
FERNANDEZ,142,"180,842",61.3,"20,189.2",8.8,1.2,5.4,0.2,0.9,83.6
MCDONALD,143,"180,497",61.2,"20,250.3",76.7,17.3,0.6,0.8,2.0,2.7
WOODS,144,"177,425",60.2,"20,310.5",58.3,35.3,0.4,0.9,2.7,2.4
WASHINGTON,145,"177,386",60.1,"20,370.6",5.2,87.5,0.3,0.7,3.8,2.5
KENNEDY,146,"176,865",60.0,"20,430.6",80.8,13.6,0.6,0.6,1.9,2.5
WELLS,147,"176,230",59.7,"20,490.3",74.0,20.0,0.5,0.9,2.2,2.4
VARGAS,148,"173,835",58.9,"20,549.3",5.4,0.4,0.9,0.2,0.2,92.9
HENRY,149,"170,964",58.0,"20,607.2",61.4,30.7,0.8,1.9,2.3,2.8
CHEN,150,"169,580",57.5,"20,664.7",1.4,0.3,96.1,0.0,1.6,0.5
FREEMAN,151,"169,149",57.3,"20,722.1",65.5,28.3,0.5,1.0,2.4,2.3
WEBB,152,"168,878",57.3,"20,779.3",75.5,19.1,0.5,0.7,2.0,2.3
TUCKER,153,"167,446",56.8,"20,836.1",70.0,24.2,0.5,0.8,2.3,2.4
GUZMAN,154,"167,044",56.6,"20,892.7",4.1,0.4,1.3,0.2,0.3,93.8
BURNS,155,"165,925",56.3,"20,948.9",80.3,14.1,0.6,0.8,1.8,2.5
CRAWFORD,156,"164,457",55.8,"21,004.7",68.6,25.7,0.5,0.8,2.3,2.2
OLSON,157,"164,035",55.6,"21,060.3",94.8,0.4,0.7,0.7,1.4,2.0
SIMPSON,158,"163,181",55.3,"21,115.6",70.8,23.1,0.5,0.8,2.3,2.5
PORTER,159,"163,054",55.3,"21,170.9",68.6,25.4,0.6,0.7,2.3,2.5
HUNTER,160,"162,440",55.1,"21,226.0",60.8,32.7,0.5,1.0,2.6,2.4
GORDON,161,"161,833",54.9,"21,280.8",64.3,29.2,0.6,0.7,2.3,3.0
MENDEZ,162,"161,717",54.8,"21,335.7",4.5,0.8,0.5,0.2,0.2,93.8
SILVA,163,"161,633",54.8,"21,390.5",32.6,2.0,2.0,0.4,1.6,61.3
SHAW,164,"160,400",54.4,"21,444.8",72.1,21.2,1.5,0.8,2.2,2.4
SNYDER,165,"160,262",54.3,"21,499.2",94.1,1.5,0.6,0.5,1.5,1.9
MASON,166,"160,213",54.3,"21,553.5",68.8,25.1,0.5,0.8,2.4,2.4
DIXON,167,"159,480",54.1,"21,607.5",54.3,39.3,0.4,1.0,2.6,2.5
MUNOZ,168,"158,483",53.7,"21,661.3",4.9,0.3,0.9,0.2,0.2,93.5
HUNT,169,"158,421",53.7,"21,715.0",73.6,16.9,0.6,4.2,2.4,2.3
HICKS,170,"158,320",53.7,"21,768.6",67.4,26.9,0.4,1.0,2.2,2.1
HOLMES,171,"156,780",53.2,"21,821.8",56.8,37.3,0.4,0.8,2.4,2.4
PALMER,172,"156,601",53.1,"21,874.9",75.1,18.6,0.6,0.8,2.1,2.9
WAGNER,173,"155,795",52.8,"21,927.7",92.5,2.6,0.6,0.5,1.4,2.4
BLACK,174,"154,738",52.5,"21,980.2",74.6,19.0,0.5,1.4,2.1,2.3
ROBERTSON,175,"153,666",52.1,"22,032.2",73.4,20.6,0.5,0.9,2.1,2.5
BOYD,176,"153,469",52.0,"22,084.3",63.2,30.8,0.5,1.0,2.4,2.2
ROSE,177,"153,397",52.0,"22,136.3",82.1,11.6,0.7,0.6,2.0,3.0
STONE,178,"153,329",52.0,"22,188.3",86.0,8.1,0.7,1.0,1.9,2.4
SALAZAR,179,"152,703",51.8,"22,240.0",5.6,0.3,1.7,0.5,0.3,91.7
FOX,180,"152,334",51.6,"22,291.7",88.1,6.1,0.6,1.0,1.8,2.4
WARREN,181,"152,147",51.6,"22,343.2",70.1,23.9,0.6,0.8,2.3,2.3
MILLS,182,"151,942",51.5,"22,394.8",77.5,16.8,0.5,0.8,2.1,2.3
MEYER,183,"150,895",51.2,"22,445.9",94.8,0.5,0.7,0.3,1.4,2.3
RICE,184,"149,500",50.7,"22,496.6",77.6,16.7,0.6,0.7,2.0,2.3
SCHMIDT,185,"147,034",49.9,"22,546.4",95.2,0.4,0.6,0.3,1.2,2.3
GARZA,186,"147,005",49.8,"22,596.3",6.7,0.2,0.2,0.3,0.2,92.5
DANIELS,187,"146,570",49.7,"22,646.0",54.7,38.5,0.5,0.9,2.7,2.7
FERGUSON,188,"146,426",49.6,"22,695.6",74.8,19.2,0.6,0.6,2.2,2.5
NICHOLS,189,"145,584",49.4,"22,745.0",82.4,11.9,0.5,0.8,2.0,2.4
STEPHENS,190,"144,646",49.0,"22,794.0",73.9,20.3,0.5,0.7,2.1,2.5
SOTO,191,"144,451",49.0,"22,843.0",5.2,0.5,0.4,0.3,0.2,93.5
WEAVER,192,"143,837",48.8,"22,891.7",84.4,10.0,0.5,1.1,1.9,2.1
RYAN,193,"143,452",48.6,"22,940.4",91.7,3.0,0.9,0.4,1.5,2.6
GARDNER,194,"142,894",48.4,"22,988.8",75.0,19.4,0.6,0.7,2.0,2.3
PAYNE,195,"142,601",48.3,"23,037.1",71.6,22.6,0.5,0.6,2.4,2.4
GRANT,196,"142,277",48.2,"23,085.4",55.4,37.9,0.5,1.1,2.4,2.8
DUNN,197,"141,427",47.9,"23,133.3",80.1,14.4,0.8,0.6,1.9,2.3
KELLEY,198,"140,693",47.7,"23,181.0",83.8,10.8,0.6,0.7,2.0,2.2
SPENCER,199,"139,951",47.4,"23,228.5",69.4,23.2,0.8,1.5,2.5,2.7
HAWKINS,200,"139,751",47.4,"23,275.8",61.1,32.8,0.5,0.7,2.5,2.5
ARNOLD,201,"138,893",47.1,"23,322.9",81.3,13.3,0.6,0.6,1.9,2.4
PIERCE,202,"138,629",47.0,"23,369.9",81.0,12.9,0.5,1.1,2.1,2.5
VAZQUEZ,203,"138,322",46.9,"23,416.8",3.5,0.4,0.2,0.1,0.1,95.8
HANSEN,204,"137,977",46.8,"23,463.6",94.2,0.5,0.7,0.5,1.5,2.5
PETERS,205,"137,513",46.6,"23,510.2",82.9,10.4,1.0,1.3,1.9,2.6
SANTOS,206,"137,232",46.5,"23,556.7",20.1,2.3,13.3,0.3,1.9,62.2
HART,207,"137,184",46.5,"23,603.2",80.5,13.6,0.6,0.7,2.0,2.5
BRADLEY,208,"136,720",46.4,"23,649.6",69.1,25.1,0.4,0.8,2.2,2.3
KNIGHT,209,"136,713",46.4,"23,695.9",72.3,21.6,0.5,0.9,2.2,2.5
ELLIOTT,210,"135,765",46.0,"23,741.9",81.6,13.0,0.5,0.7,2.0,2.2
CUNNINGHAM,211,"135,718",46.0,"23,788.0",73.2,21.2,0.5,0.5,2.1,2.6
DUNCAN,212,"135,187",45.8,"23,833.8",76.4,17.3,0.5,1.0,2.2,2.6
ARMSTRONG,213,"135,044",45.8,"23,879.6",72.4,21.0,0.6,0.9,2.3,2.8
HUDSON,214,"134,963",45.8,"23,925.3",66.9,27.4,0.5,0.8,2.2,2.2
CARROLL,215,"134,317",45.5,"23,970.9",83.0,11.5,0.6,0.7,1.9,2.4
LANE,216,"134,227",45.5,"24,016.4",77.1,16.9,0.6,0.9,2.1,2.3
RILEY,217,"133,872",45.4,"24,061.7",72.8,21.3,0.5,0.9,2.1,2.5
ANDREWS,218,"133,799",45.4,"24,107.1",71.8,21.6,0.8,1.1,2.2,2.6
ALVARADO,219,"133,501",45.3,"24,152.4",4.3,0.3,0.5,0.2,0.2,94.4
RAY,220,"133,171",45.2,"24,197.5",75.0,17.5,1.9,0.9,2.1,2.6
DELGADO,221,"132,985",45.1,"24,242.6",5.6,0.7,0.8,0.2,0.3,92.5
BERRY,222,"132,812",45.0,"24,287.6",70.7,23.1,0.6,0.8,2.3,2.5
PERKINS,223,"131,440",44.6,"24,332.2",69.5,24.6,0.5,0.7,2.3,2.4
HOFFMAN,224,"131,401",44.6,"24,376.7",94.1,1.3,0.6,0.6,1.3,2.1
JOHNSTON,225,"131,373",44.5,"24,421.3",91.6,2.4,0.7,0.8,1.8,2.6
MATTHEWS,226,"131,303",44.5,"24,465.8",63.4,30.7,0.6,0.6,2.4,2.4
PENA,227,"130,776",44.3,"24,510.1",5.3,0.5,1.1,0.3,0.2,92.5
RICHARDS,228,"130,529",44.3,"24,554.4",78.7,14.9,0.7,1.0,2.0,2.8
CONTRERAS,229,"130,164",44.1,"24,598.5",4.2,0.2,0.6,0.3,0.2,94.6
WILLIS,230,"130,152",44.1,"24,642.6",62.2,31.1,0.5,1.3,2.6,2.3
CARPENTER,231,"129,898",44.0,"24,686.6",86.2,8.5,0.6,0.7,1.9,2.2
LAWRENCE,232,"129,699",44.0,"24,730.6",68.9,24.7,0.7,0.9,2.3,2.5
SANDOVAL,233,"128,948",43.7,"24,774.3",5.3,0.2,0.6,1.8,0.3,91.9
GUERRERO,234,"128,677",43.6,"24,817.9",4.6,0.3,2.2,0.2,0.4,92.3
GEORGE,235,"128,625",43.6,"24,861.5",66.5,18.5,7.6,2.2,2.0,3.2
CHAPMAN,236,"127,939",43.4,"24,904.9",79.5,14.6,0.6,0.8,2.0,2.5
RIOS,237,"127,794",43.3,"24,948.2",5.0,0.4,0.4,0.3,0.2,93.6
ESTRADA,238,"127,470",43.2,"24,991.5",4.6,0.4,1.7,0.2,0.3,92.9
ORTEGA,239,"127,256",43.1,"25,034.6",4.8,0.3,1.2,0.4,0.3,93.1
WATKINS,240,"127,083",43.1,"25,077.7",62.0,32.3,0.4,0.6,2.6,2.1
GREENE,241,"126,101",42.8,"25,120.4",67.7,26.5,0.5,0.7,2.3,2.2
NUNEZ,242,"125,350",42.5,"25,162.9",5.3,0.7,0.8,0.3,0.2,92.7
WHEELER,243,"125,058",42.4,"25,205.3",81.0,13.3,0.5,0.9,2.0,2.4
VALDEZ,244,"124,995",42.4,"25,247.7",6.3,0.5,3.4,0.7,0.6,88.7
HARPER,245,"124,461",42.2,"25,289.9",67.9,26.2,0.5,0.7,2.4,2.3
BURKE,246,"122,877",41.7,"25,331.5",85.9,8.8,0.7,0.5,1.7,2.4
LARSON,247,"122,587",41.6,"25,373.1",94.8,0.5,0.7,0.6,1.4,2.0
SANTIAGO,248,"122,212",41.4,"25,414.5",5.4,1.3,4.5,0.1,0.6,88.1
MALDONADO,249,"121,526",41.2,"25,455.7",5.0,0.5,0.4,0.2,0.2,93.7
MORRISON,250,"121,130",41.1,"25,496.8",79.1,14.8,0.6,1.0,2.0,2.5
FRANKLIN,251,"120,621",40.9,"25,537.7",54.4,38.8,0.5,0.8,2.8,2.7
CARLSON,252,"120,552",40.9,"25,578.6",94.8,0.5,0.8,0.5,1.4,2.1
AUSTIN,253,"119,706",40.6,"25,619.1",67.5,26.0,0.6,0.8,2.3,2.8
DOMINGUEZ,254,"119,304",40.4,"25,659.6",5.0,0.4,1.0,0.3,0.2,93.1
CARR,255,"119,076",40.4,"25,699.9",73.6,20.8,0.5,0.6,2.1,2.4
LAWSON,256,"119,053",40.4,"25,740.3",73.8,20.7,0.4,0.7,2.2,2.2
JACOBS,257,"118,614",40.2,"25,780.5",74.3,16.7,0.6,3.8,2.2,2.5
OBRIEN,258,"118,557",40.2,"25,820.7",93.9,1.3,0.8,0.4,1.4,2.3
LYNCH,259,"117,708",39.9,"25,860.6",82.3,11.7,0.6,1.1,1.8,2.5
SINGH,260,"116,749",39.6,"25,900.2",4.3,4.5,82.8,1.2,4.8,2.5
VEGA,261,"116,673",39.6,"25,939.7",5.5,0.6,0.7,0.2,0.3,92.7
BISHOP,262,"116,618",39.5,"25,979.3",84.4,10.1,0.6,0.6,1.9,2.4
MONTGOMERY,263,"115,953",39.3,"26,018.6",67.9,26.2,0.6,0.6,2.4,2.4
OLIVER,264,"115,900",39.3,"26,057.9",64.2,27.5,0.7,0.7,2.4,4.5
JENSEN,265,"115,679",39.2,"26,097.1",94.0,0.4,0.7,0.8,1.4,2.6
HARVEY,266,"115,662",39.2,"26,136.3",68.0,25.0,0.5,1.7,2.3,2.5
WILLIAMSON,267,"114,959",39.0,"26,175.3",77.2,17.4,0.5,0.7,1.9,2.3
GILBERT,268,"114,940",39.0,"26,214.2",77.8,15.9,0.6,0.7,2.0,3.0
DEAN,269,"114,030",38.7,"26,252.9",76.6,16.8,1.1,0.7,2.2,2.6
SIMS,270,"113,374",38.4,"26,291.3",54.3,39.9,0.4,0.6,2.6,2.2
ESPINOZA,271,"112,154",38.0,"26,329.4",4.0,0.2,0.4,0.3,0.2,94.9
HOWELL,272,"112,041",38.0,"26,367.3",79.5,15.1,0.5,0.7,1.8,2.5
LI,273,"111,786",37.9,"26,405.2",1.5,0.2,96.8,0.0,0.9,0.6
WONG,274,"111,371",37.8,"26,443.0",3.5,0.8,86.5,0.0,5.2,4.0
REID,275,"111,360",37.8,"26,480.7",59.8,34.1,0.6,0.6,2.3,2.6
HANSON,276,"111,144",37.7,"26,518.4",92.1,2.9,0.7,0.7,1.6,2.1
